Achilles Bischoff-Strasse
Neuweilerplatz
Nidwaldnerstrasse
Niklaus von Flüe-Strasse
Nonnenweg
Novarastrasse
nt*/areal
Nufenenstrasse
Oberalpstrasse
Oberer Batterieweg
Oberer Rheinweg
Oberwilerstrasse
Obwaldnerstrasse
Ochsengasse
Oekolampadstrasse
Oetlingerstrasse
Offenburgerstrasse
Olsbergerweg
Oltingerstrasse
Ormalingerweg
Oscar Frey-Strasse
Otterbachweg
Palmenstrasse
Paracelsusstrasse
Paradieshofstrasse
Park Road
Parkweg
Passwangstrasse
Paul-Sacher-Anlage
Paulusgasse
Pelikanweg
Pestalozzistrasse
Peter Ochs-Strasse
Peter-Merian-Strasse
Peter-Rot-Strasse
Petersgasse
Petersgraben
Peterskirchplatz
Petersplatz
Pfalz
Pfarrgasse
Pfeffelstrasse
Pfeffingerstrasse
Pfirtergasse
Pfluggässlein
Picassoplatz
Pilatusstrasse
Pilgerstrasse
Pragstrasse
Prattelerstrasse
Pruntruterstrasse
Rämelstrasse
Ramsteinerstrasse
Rankstrasse
Rappoltshof
Rastatterstrasse
Realpstrasse
Rebgasse
Redingstrasse
Rehhagstrasse
Reichensteinerstrasse
Reiterstrasse
Rennweg
Reservoirstrasse
Reusstrasse
Rheinfelderstrasse
Rheingasse
Rheinländerstrasse
Rheinschanze
Rheinsprung
Rheinweilerweg
Riburgstrasse
Riedbergstrasse
Riehenring
Riehenstrasse
Riehenteichstrasse
Riehentorstrasse
Rigistrasse
Ringgässlein
Rittergasse
Rixheimerstrasse
Rodersdorferstrasse
Rodrisstrasse
Roggenburgstrasse
Römergasse
Röschenzerstrasse
Rosengartenweg
Rosentalstrasse
Rosshofgasse
Rotbergerstrasse
Röttelerstrasse
Rotterdam-Strasse
Rüdengasse
Rudolfstrasse
Rufacherstrasse
Rührbergerstrasse
Rümelinbachweg
Rümelinsplatz
Rümmingerstrasse
Rütimeyerplatz
Rütimeyerstrasse
Rütlistrasse
Ryffstrasse
Säckingerstrasse
Sägergässlein
Saint-Louis-Strasse
Salinenstrasse
Salmenweg
Sandgrubenstrasse
Sängergasse
Sankt Johanns-Hafen
Säntisstrasse
Sarnerstrasse
Sattelgasse
Schäferweg
Schaffhauserrheinweg
Schafgässlein
Schalerstrasse
Schanzenstrasse
Schäublinstrasse
Schauenburgerstrasse
Scheltenstrasse
Scherkesselweg
Schertlingasse
Schifflände
Schiffmühlestrasse
Schillerstrasse
Schlachthofstrasse
Schleifenbergstrasse
Schlettstadterstrasse
Schliengerweg
Schlossgasse
Schlüsselberg
Schnabelgasse
Schneidergasse
Schöllenenstrasse
Schönaustrasse
Schönbeinstrasse
Schönenbergstrasse
Schönenbuchstrasse
Schönmattstrasse
Schopfheimerstrasse
Schorenweg
Schulgasse
Schützengraben
Schützenmattstrasse
Schwarzwaldallee
Schwarzwaldbrücke
Schwarzwaldstrasse
Schweizergasse
Schwörstadterstrasse
Sclachthofstrasse
Seltisbergerstrasse
Sempacherstrasse
Sennheimerstrasse
Septerstrasse
Sevogelplatz
Sevogelstrasse
Sierenzerstrasse
Signalstrasse
Singerstrasse
Singerweg
Sissacherstrasse
Socinstrasse
Solothurnerstrasse
Sommergasse
Sonnenbergstrasse
Sonnenweg
Spalen-Durchgang
Spalenberg
Spalengraben
Spalenring
Spalentorweg
Spalenvorstadt
Speiserstrasse
Sperrstrasse
Spiegelbergstrasse
Spiegelgasse
Spitalstrasse
Spitalstrasse
St. Alban-Anlage
St. Alban-Berg
St. Alban-Graben
St. Alban-Kirchrain
St. Alban-Rheinweg
St. Alban-Ring
St. Alban-Tal
St. Alban-Talstrasse
St. Alban-Vorstadt
St. Albanberg
St. Galler-Ring
St. Jakobs-Strasse
St. Johanns-Parkweg
St. Johanns-Platz
St. Johanns-Rheinweg
St. Johanns-Ring
St. Johanns-Vorstadt
Stachelrain
Stadionstrasse
Stadthausgasse
Stänzlergasse
Stapfelberg
Starenstrasse
Steinbühlallee
Steinbühlplatz
Steinenbachgässlein
Steinenberg
Steinengraben
Steinenring
Steinenschanze
Steinentorberg
Steinentorstrasse
Steinenvorstadt
Sternenbergerstrasse
Sternengasse
Stiftsgasse
Stöberstrasse
Strassburgerallee
Streitgasse
Stuttgart-Strasse
Südquaistrasse
Sulzerstrasse
Sundgauerstrasse
Sustenstrasse
Tannenfluhweg
Teichgässlein
Tellplatz
Tellstrasse
Tessinstrasse
Thannerstrasse
Theaterstrasse
Theodor Herzl-Strasse
Theodorsgraben
Theodorskirchplatz
Therwilerstrasse
Thiersteinerallee
Thiersteinerrain
Thumringerstrasse
Tiergartenrain
Tödistrasse
Totengässlein
Totentanz
Tüllingerstrasse
Türkheimerstrasse
Turnerstrasse
Uferstrasse
Uhlandstrasse
Unter der Batterie
Untere Rebgasse
Untere Rheingasse
Unterer Batterieweg
Unterer Heuberg
Unterer Rheinweg
Urs Graf-Strasse
Utengasse
Viaduktstrasse
Vogelsangstrasse
Vogesenplatz
Vogesenstrasse
Volkensbergerstrasse
Voltaplatz
Voltastrasse
Wahlenweg
Waldeckstrasse
Waldenburgerstrasse
Waldighoferstrasse
Waldshuterstrasse
Walkeweg
Wallstrasse
Wanderstrasse
Wartenbergstrasse
Wasensträsschen
Wasgenring
Wasserstrasse
Wasserturm-Promenade
Wattstrasse
Webergasse
Weidengasse
Weiherhofstrasse
Weiherweg
Weilerweg
Weisse Gasse
Weissensteinstrasse
Welschmattstrasse
Westquaistrasse
Wettsteinallee
Wettsteinbrücke
Wettsteinplatz
Wielandplatz
Wien-Strasse
Wiesendamm
Wiesenplatz
Wiesenschanzweg
Wiesenstrasse
Wild-Ma-Gässli
Wildensteinerstrasse
Wildschutzweg
Wilhelm His-Strasse
Wilhelm Klein-Strasse
Winkelriedplatz
Wintergasse
Wintersingerweg
Wittlingerstrasse
Wollbacherstrasse
Zähringerstrasse
Zeglingerweg
Zeughausstrasse
Ziegelstrasse
Zu den drei Linden
Zum Bischofstein
Zum Hilsenstein
Zur Gempenfluh
Zürcherstrasse
Zürcherstrasse
Zwingerstrasse
