Vorname,Total
Thibault,1148
Jean-Marie,1142
Adem,1140
Günter,1139
Raoul,1138
Marcello,1137
Tomas,1136
Dorian,1135
Edouard,1126
Andrej,1108
Enes,1105
Steffen,1105
Enis,1104
Vittorio,1103
Gerardo,1102
Horst,1102
Amar,1101
Massimiliano,1101
Matthew,1100
Milo,1096
Mehdi,1094
Pierre-André,1092
Noa,1088
Giulio,1087
Hannes,1087
Romano,1081
Mohamad,1079
Damiano,1073
Maxim,1073
Xaver,1073
Nenad,1068
Jean-Louis,1067
Noël,1065
Alfons,1064
Lio,1064
Marek,1062
Gaël,1060
Miro,1058
Esteban,1057
Chris,1050
Yannik,1049
Cosimo,1040
Nikolaus,1038
Jordan,1037
Renzo,1033
Yannis,1022
Dan,1021
Osman,1021
Emile,1020
Martial,1020
Besnik,1018
Gianfranco,1017
Darko,1009
Burim,1008
Elmar,1008
Valon,1003
Kim,1001
Aurelio,998
August,997
Raul,993
Ilir,991
Naim,988
Iwan,984
Besim,980
Sean,974
Lorik,971
Yusuf,970
Léonard,966
Georgios,963
Agron,960
Fatmir,960
Ludwig,960
Carl,958
George,956
Andy,955
Bastian,954
Petar,954
Sebastiano,954
Maik,951
Leano,950
Marcos,950
Gaëtan,949
Danijel,944
Blerim,943
Mika,935
Agim,934
Hassan,934
Blaise,930
Muhamed,930
Janick,928
Armand,926
Clemens,924
Angel,922
Yanik,920
Bajram,918
Afrim,915
Tino,914
Fábio,911
Ernesto,909
Dany,907
Tony,906
Dion,898
Jimmy,896
Juri,893
Zeljko,893
Jeton,891
Rosario,890
Urban,889
Jean-Philippe,882
Erhard,880
Fredy,879
Ismet,876
Ramadan,876
Roy,874
Piotr,873
Cristiano,872
Florin,871
Marino,871
Tomás,869
Alfonso,868
Selim,868
Attila,865
Sam,864
Ardian,862
Lorin,862
Aurel,861
Enver,858
Stephen,852
Nik,849
Fausto,848
Bojan,842
Joris,840
Ernest,836
Dean,835
Josip,835
Konstantin,831
Tenzin,830
Holger,825
Edoardo,824
Hamza,823
Liridon,821
Alvaro,816
Elvis,816
Arian,815
Edin,815
Ivano,814
Ilija,812
Isaac,812
Niels,811
Franck,810
Julio,808
Kenan,808
Halil,803
Naser,803
Jaime,801
Alen,800
Maurus,798
Gonçalo,797
Bujar,796
Driton,795
Jesus,794
Kay,792
Abel,791
Tomasz,788
Timothée,787
Kristian,784
Olaf,780
Torsten,780
Ennio,779
Dusan,777
Gion,774
Lean,773
Eliott,770
Nael,770
Heiko,769
Fernand,768
Vítor,768
Ajan,766
Gustav,759
Andre,758
Oswald,757
Edward,753
Jannis,752
Avni,751
Egzon,751
Sinan,751
Matias,749
Umberto,746
Can,745
Danny,745
Piero,742
Abdullah,740
Constantin,739
Noam,738
Van,735
Volker,734
Hélder,732
Charly,731
Melvin,730
Pawel,730
Dimitrios,729
Jack,728
Omer,728
Jannik,727
Edmond,726
Josua,724
Yoann,720
Cornel,719
Yannic,719
Jaron,718
Armend,717
Hans-Ulrich,716
Krzysztof,715
Augusto,714
Enrique,713
Bashkim,712
Jovan,711
Marcin,709
Kian,708
Konstantinos,708
César,707
Henrik,705
Slobodan,701
Almir,700
Ivica,697
Wilfried,697
Noe,696
Arlind,693
Emre,689
Corsin,688
Pavel,686
Musa,684
Tibor,682
Ismael,681
Jakub,681
Arsim,680
Fadil,679
Abdul,677
Ioannis,676
Dalibor,673
Egon,673
Fred,673
Nathanael,673
Lazar,672
Basile,668
Domingos,664
Tomislav,664
Leart,662
Ilan,661
Carsten,659
Mário,659
Cyrille,658
Henrique,656
Youssef,656
Beda,655
Gerold,655
Bilal,653
Gaston,653
Rinaldo,647
Jozef,646
Nikolaos,645
Jacob,644
Ruedi,644
Diar,643
Gioele,643
Jayden,643
Yan,643
Rémi,642
Augustin,640
Günther,638
Endrit,637
Gustavo,633
Said,630
Muhammed,629
Damir,628
Ingo,627
Lucio,625
Marcelo,623
Corentin,621
Faton,621
Lulzim,621
Kemal,620
Frederik,618
Félix,618
Hans-Jörg,616
Neil,616
Muhamet,615
Vasco,615
Yasin,615
Ömer,614
Jann,613
Martino,613
Jochen,611
Hakan,610
Kylian,610
Shaban,610
Jeffrey,608
Eugenio,605
Artan,601
Nelio,601
Thibaud,599
Mladen,598
Thorsten,598
Emin,597
Felipe,597
Dietmar,595
Luke,593
Nicolò,592
Erion,590
Helder,590
Johnny,590
Gerald,589
Hendrik,588
Cem,587
Mickaël,585
Curdin,584
Gottlieb,584
Guilherme,584
Gil,583
Kushtrim,582
Dardan,581
Skender,581
Loan,580
Tarik,579
Timéo,577
Graziano,576
Leonhard,576
Hansueli,575
Muhammad,575
Eliot,574
Maurin,572
Felice,571
Amin,569
Branko,568
Lukasz,568
Lias,567
Aziz,566
Gerd,566
Mentor,566
Haris,565
Isa,564
Killian,563
Kristijan,563
Simeon,562
Thiago,562
Hussein,561
Lothar,560
Kamil,557
Régis,555
Abraham,553
Rino,551
Anto,550
